#id	length	evalue	coverge	probability	score
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	6e-41	100.0	0.98	133.2
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	81	2.1e-30	100.0	0.99	99.0
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	174	4.9e-95	100.0	1.0	309.9
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	57	2.8e-67	22.4	0.96	220.7
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	313	2e-140	100.0	0.99	461.4
Os0032_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	4.3e-45	100.0	0.98	146.6
Os0032_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	81	4.2e-27	100.0	0.98	88.4
Os0032_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	174	1.6e-90	100.0	1.0	295.2
Os0032_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	52	1.2e-55	21.5	0.99	182.6
Os0032_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	313	3.7e-131	100.0	0.99	430.9
Os0034_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	1.3e-31	100.0	0.97	103.5
Os0034_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.9e-19	100.0	1.0	63.0
Os0034_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	9.5e-91	100.0	1.0	296.0
Os0034_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	7.1e-63	100.0	1.0	205.0
Os0034_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	212	2.1e-81	68.2	0.98	266.9
Os0034_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	1e-27	98.7	0.97	90.1
Os0035#DNAauto/MULE|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	177	1e-52	100.0	0.97	172.3
Os0039_INT_RIRE3#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	128	4.8e-50	99.2	0.99	162.6
Os0039_INT_RIRE3#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	74	5.2e-27	100.0	0.99	88.1
Os0039_INT_RIRE3#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RT	173	4.2e-105	100.0	1.0	342.8
Os0039_INT_RIRE3#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RH	145	6.2e-86	100.0	1.0	279.6
Os0039_INT_RIRE3#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-INT	308	9.5e-175	100.0	1.0	573.8
Os0039_INT_RIRE3#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	77	5.8e-35	100.0	0.99	113.1
Os0040_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	3.2e-36	100.0	0.97	117.9
Os0040_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	47	1e-10	58.2	0.97	35.9
Os0040_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	53	3.4e-59	21.1	0.97	194.2
Os0040_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	308	1.3e-116	100.0	0.98	383.1
Os0041_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	196	1.4e-73	100.0	0.98	240.5
Os0041_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	3.8e-116	100.0	0.99	380.5
Os0041_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	1.5e-62	100.0	0.99	203.1
Os0044#LINE/unknown|Class_I/LINE:LINE-ENDO	73	0.00017	23.0	0.78	15.6
Os0044#LINE/unknown|Class_I/LINE:LINE-RT	248	1.9e-57	89.4	0.89	188.3
Os0052#DNAauto/CACTA|Class_II/Subclass_1/TIR/EnSpm_CACTA:CACTA-TPase	116	3.5e-85	26.5	0.96	280.3
Os0057_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	93	2.2e-27	98.9	0.98	89.0
Os0057_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-PROT	69	2.8e-29	100.0	0.99	95.2
Os0057_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-INT	201	3.9e-91	100.0	1.0	297.8
Os0057_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-RT	256	1.6e-136	100.0	1.0	447.4
Os0057_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-RH	126	9.3e-68	100.0	1.0	219.8
Os0058_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	6.7e-32	100.0	0.99	104.3
Os0058_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	3.1e-22	100.0	1.0	72.5
Os0058_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	138	3.3e-61	74.6	0.97	199.8
Os0058_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	144	6.1e-61	97.9	0.99	198.7
Os0058_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	293	4.3e-135	95.1	0.99	443.2
Os0058_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	3.4e-11	96.1	0.83	37.2
Os0060_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	125	1.1e-28	100.0	0.98	93.8
Os0076_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-GAG	90	8.8e-41	100.0	0.99	132.6
Os0076_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-PROT	72	5.6e-40	100.0	0.99	129.3
Os0076_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-INT	197	1.2e-106	100.0	1.0	348.2
Os0076_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-RT	256	5.8e-148	100.0	1.0	485.1
Os0076_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-RH	130	1.3e-64	100.0	1.0	209.9
Os0077_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	125	2.2e-40	95.3	0.96	131.4
Os0077_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	74	4.5e-27	100.0	1.0	88.3
Os0077_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RT	173	9.5e-103	100.0	1.0	335.2
Os0077_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RH	145	1e-86	100.0	1.0	282.2
Os0077_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-INT	308	1.9e-170	100.0	1.0	559.6
Os0077_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	77	1.8e-28	90.9	0.97	92.3
Os0079_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	92	2.1e-18	71.8	0.97	60.8
Os0079_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	1.2e-20	100.0	1.0	67.4
Os0079_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	155	6.9e-80	89.0	0.99	260.6
Os0079_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	6.4e-61	100.0	1.0	198.6
Os0079_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	1.1e-128	99.7	0.98	422.1
Os0079_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	1.1e-16	79.2	0.94	54.8
Os0088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	118	2.9e-39	85.9	0.96	127.8
Os0088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	74	1.2e-22	100.0	0.99	74.2
Os0088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RT	60	5.6e-27	32.4	0.97	88.5
Os0088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RH	144	9.1e-82	98.6	0.98	266.1
Os0088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-INT	291	6.3e-153	94.2	1.0	502.1
Os0088_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	75	2.6e-24	80.5	0.96	78.9
Os0097_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	4.9e-27	100.0	0.99	87.7
Os0097_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	72	2.1e-30	100.0	0.99	98.5
Os0097_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	1.4e-83	100.0	0.99	273.1
Os0097_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	1.6e-118	100.0	0.99	388.4
Os0097_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	1e-55	100.0	1.0	180.8
Os0101_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	2.1e-29	100.0	0.99	95.3
Os0101_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	73	6.2e-32	100.0	0.95	103.6
Os0101_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	197	8.5e-96	100.0	0.99	313.0
Os0101_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	232	4.7e-113	86.9	0.97	370.3
Os0101_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	115	2.1e-43	84.9	0.96	141.0
Os0107_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	118	2.2e-35	100.0	0.98	115.6
Os0107_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	68	2.2e-21	91.9	0.99	69.8
Os0107_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	8.1e-94	100.0	1.0	306.0
Os0107_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	1e-61	100.0	1.0	201.2
Os0107_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	293	7.8e-119	89.0	0.98	389.8
Os0107_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	71	2.4e-21	100.0	0.92	69.7
Os0110_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	2.9e-29	97.8	0.98	94.9
Os0110_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	72	1.8e-25	100.0	0.99	82.7
Os0110_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	7.1e-79	100.0	1.0	257.7
Os0110_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	255	1.9e-108	100.0	0.98	355.4
Os0110_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	9e-56	100.0	1.0	181.0
Os0111_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	60	1.1e-13	41.9	0.91	45.7
Os0111_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	75	2.5e-23	100.0	0.97	76.0
Os0111_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	168	2.6e-85	97.1	0.98	278.3
Os0111_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	2e-56	100.0	0.99	184.0
Os0111_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	307	8.1e-127	98.7	0.98	416.0
Os0111_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	71	1.6e-17	100.0	0.94	57.4
Os0119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	128	2e-41	89.8	0.95	134.7
Os0119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	74	3.9e-30	100.0	1.0	98.1
Os0119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RT	173	1.2e-101	100.0	1.0	331.6
Os0119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RH	145	3.6e-85	100.0	1.0	277.1
Os0119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-INT	308	1.5e-173	100.0	1.0	569.8
Os0119_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	77	1.5e-33	100.0	0.99	108.5
Os0128_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	90	4.8e-14	100.0	0.96	46.5
Os0128_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	71	3.9e-21	100.0	0.96	69.2
Os0128_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	2.9e-68	100.0	0.97	223.2
Os0128_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	2.3e-107	100.0	0.98	351.7
Os0128_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	4.5e-62	100.0	0.99	201.6
Os0129#DNAauto/CACTA|Class_II/Subclass_1/TIR/EnSpm_CACTA:CACTA-TPase	443	9.5e-199	100.0	0.96	654.5
Os0130_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	2.8e-28	98.9	0.99	91.7
Os0130_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	72	3.1e-27	100.0	0.99	88.4
Os0130_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	4.1e-83	100.0	1.0	271.6
Os0130_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	1.7e-111	100.0	0.98	365.3
Os0130_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	7.2e-55	100.0	0.99	178.1
Os0133_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	125	2.2e-43	100.0	0.98	141.3
Os0133_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-PROT	75	2.1e-37	100.0	0.99	121.2
Os0137_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-PROT	75	7.5e-30	100.0	0.99	97.0
Os0139_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	7.4e-44	100.0	0.98	142.6
Os0139_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	79	4.5e-15	100.0	0.94	49.9
Os0139_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	171	1.3e-84	98.3	0.98	276.0
Os0139_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	232	7.6e-73	89.0	0.93	238.9
Os0139_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	313	4.5e-131	100.0	0.99	430.7
Os0140_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	1e-30	100.0	0.98	100.5
Os0140_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	7.8e-25	100.0	1.0	80.8
Os0140_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	146	3e-61	83.8	0.97	200.0
Os0140_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	134	7.3e-57	90.3	0.99	185.5
Os0140_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	271	3e-124	85.1	0.99	407.6
Os0140_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	4.3e-17	98.7	0.95	56.1
Os0143_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	6.7e-30	100.0	0.99	97.9
Os0143_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	6.2e-31	100.0	1.0	100.4
Os0143_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	6.5e-95	100.0	1.0	309.6
Os0143_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	6.3e-63	100.0	1.0	205.1
Os0143_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	318	4.2e-141	100.0	0.94	463.0
Os0143_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	2e-22	97.4	0.94	73.1
Os0144#LINE/unknown|Class_I/LINE:LINE-RT	263	1.2e-60	98.8	0.86	198.8
Os0145#LINE/unknown|Class_I/LINE:LINE-RT	120	1.8e-15	35.1	0.74	50.8
Os0146_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	90	8.5e-17	100.0	0.95	55.3
Os0146_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	74	4.2e-21	100.0	0.93	69.1
Os0146_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	194	2.4e-70	100.0	0.98	229.9
Os0146_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	2.5e-117	99.6	0.99	384.4
Os0146_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	4.2e-61	100.0	0.99	198.5
Os0147#DNAauto/hAT|Class_II/Subclass_1/TIR/hAT:hAT-TPase	453	6e-125	100.0	0.91	411.9
Os0148#DNAauto/MULE|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	175	1.1e-50	99.4	0.97	165.7
Os0149_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	118	6.6e-28	100.0	0.95	91.5
Os0149_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	1e-24	98.6	0.99	80.5
Os0149_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	141	9e-57	76.9	0.96	185.4
Os0149_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	5.4e-52	100.0	0.96	169.7
Os0149_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	307	1.4e-137	98.4	1.0	451.4
Os0149_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	53	6.8e-11	75.3	0.9	36.2
Os0151_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	2e-31	100.0	0.98	102.8
Os0151_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	1.3e-24	100.0	1.0	80.1
Os0151_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	2.8e-94	100.0	1.0	307.5
Os0151_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	1.6e-57	100.0	0.98	187.6
Os0151_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	2.2e-143	100.0	0.99	470.4
Os0151_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	1.1e-16	94.8	0.92	54.7
Os0155_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	90	1.4e-14	100.0	0.96	48.2
Os0155_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	128	4.1e-45	61.9	0.99	147.6
Os0155_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	139	8.4e-56	51.0	0.94	182.7
Os0155_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	4.5e-59	100.0	0.98	191.9
Os0156_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	94	1.2e-29	100.0	0.98	96.1
Os0156_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	72	7.3e-28	100.0	0.99	90.4
Os0156_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	105	2e-40	50.0	0.98	132.2
Os0156_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	3.2e-116	99.2	0.99	380.8
Os0156_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	1e-53	100.0	1.0	174.4
Os0157_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	128	2.2e-50	100.0	0.99	163.7
Os0157_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	74	2.4e-27	100.0	0.99	89.2
